,Accommodation_Capacity,Unit of measurement,Economic activity,Region,Year,Value
2684,Establishments,Percentage change on previous period,Hotels and similar accommodation,Puglia,2023,1.42
2687,Establishments,Percentage change on previous period,Hotels and similar accommodation,Basilicata,2021,-0.88
2688,Establishments,Percentage change on previous period,Hotels and similar accommodation,Basilicata,2022,1.78
2689,Establishments,Percentage change on previous period,Hotels and similar accommodation,Basilicata,2023,2.18
2692,Establishments,Percentage change on previous period,Hotels and similar accommodation,Calabria,2021,-1.48
2693,Establishments,Percentage change on previous period,Hotels and similar accommodation,Calabria,2022,0.75
2694,Establishments,Percentage change on previous period,Hotels and similar accommodation,Calabria,2023,-12.39
2702,Establishments,Percentage change on previous period,Hotels and similar accommodation,Sicilia,2021,-0.23
2703,Establishments,Percentage change on previous period,Hotels and similar accommodation,Sicilia,2022,0.76
2704,Establishments,Percentage change on previous period,Hotels and similar accommodation,Sicilia,2023,1.43
2707,Establishments,Percentage change on previous period,Hotels and similar accommodation,Sardegna,2021,1.52
2708,Establishments,Percentage change on previous period,Hotels and similar accommodation,Sardegna,2022,3.1
2709,Establishments,Percentage change on previous period,Hotels and similar accommodation,Sardegna,2023,4.36
2717,Establishments,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2021,-0.46
2718,Establishments,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2022,-0.31
2719,Establishments,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2023,-0.13
2722,Establishments,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2021,-1.85
2723,Establishments,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2022,-0.84
2724,Establishments,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2023,0.49
2727,Establishments,Percentage change on previous period,Hotels and similar accommodation,Veneto,2021,-5.14
2728,Establishments,Percentage change on previous period,Hotels and similar accommodation,Veneto,2022,13.74
2729,Establishments,Percentage change on previous period,Hotels and similar accommodation,Veneto,2023,-1.49
2732,Establishments,Percentage change on previous period,Hotels and similar accommodation,Friuli Venezia Giulia,2021,1.44
2733,Establishments,Percentage change on previous period,Hotels and similar accommodation,Friuli Venezia Giulia,2022,0.39
2734,Establishments,Percentage change on previous period,Hotels and similar accommodation,Friuli Venezia Giulia,2023,2.96
2737,Establishments,Percentage change on previous period,Hotels and similar accommodation,Emilia-Romagna,2021,1.49
2738,Establishments,Percentage change on previous period,Hotels and similar accommodation,Emilia-Romagna,2022,-0.46
2739,Establishments,Percentage change on previous period,Hotels and similar accommodation,Emilia-Romagna,2023,-0.44
2747,Establishments,Percentage change on previous period,Hotels and similar accommodation,Toscana,2021,-0.95
2748,Establishments,Percentage change on previous period,Hotels and similar accommodation,Toscana,2022,-0.51
2749,Establishments,Percentage change on previous period,Hotels and similar accommodation,Toscana,2023,0.26
2752,Establishments,Percentage change on previous period,Hotels and similar accommodation,Umbria,2021,-0.81
2753,Establishments,Percentage change on previous period,Hotels and similar accommodation,Umbria,2022,-8.78
2754,Establishments,Percentage change on previous period,Hotels and similar accommodation,Umbria,2023,-0.22
2757,Establishments,Percentage change on previous period,Hotels and similar accommodation,Marche,2021,0.0
2758,Establishments,Percentage change on previous period,Hotels and similar accommodation,Marche,2022,-1.01
2759,Establishments,Percentage change on previous period,Hotels and similar accommodation,Marche,2023,-1.15
2762,Establishments,Percentage change on previous period,Hotels and similar accommodation,Lazio,2021,1.18
2763,Establishments,Percentage change on previous period,Hotels and similar accommodation,Lazio,2022,0.35
2764,Establishments,Percentage change on previous period,Hotels and similar accommodation,Lazio,2023,-2.41
2795,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,-0.51
2796,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,0.36
2797,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,2.31
2800,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,0.47
2801,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,1.25
2802,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,-1.39
2805,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,0.49
2806,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2022,-0.26
2807,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2023,3.4
2810,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2021,8.41
2811,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2022,12.07
2812,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2023,18.69
2820,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2021,3.42
2821,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2022,2.51
2822,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2023,6.31
2825,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2021,4.64
2826,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2022,1.48
2827,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2023,0.42
2830,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2021,4.02
2831,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2022,6.06
2832,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2023,13.82
2835,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2021,4.11
2836,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2022,39.22
2837,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2023,-20.43
2840,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2021,-0.47
2841,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2022,2.08
2842,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2023,8.17
2845,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2021,-3.2
2846,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2022,12.61
2847,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2023,-16.58
2855,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,-1.27
2856,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,7.5
2857,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,3.57
2860,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,-6.51
2861,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,4.07
2862,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,3.64
2870,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,0.53
2871,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,9.11
2872,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,1.18
2875,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,-0.86
2876,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,1.27
2877,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,2.96
2880,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2021,-10.46
2881,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2022,-9.31
2882,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2023,11.35
2885,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2021,5.94
2886,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2022,3.84
2887,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2023,6.68
2890,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2021,2.99
2891,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2022,2.75
2892,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2023,2.31
2900,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2021,1.91
2901,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2022,2.83
2902,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2023,11.1
2905,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2021,1.48
2906,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2022,0.39
2907,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2023,7.84
2910,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2021,-44.2
2911,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2022,4.18
2912,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2023,6.77
2915,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,5.83
2916,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,0.19
2917,Establishments,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,-25.66
2948,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Piemonte,2021,-0.23
2949,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Piemonte,2022,0.55
2950,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Piemonte,2023,3.05
2953,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Valle d'Aosta,2021,0.27
2954,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Valle d'Aosta,2022,1.98
2955,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Valle d'Aosta,2023,0.0
2958,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Liguria,2021,1.19
2959,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Liguria,2022,-0.03
2960,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Liguria,2023,4.85
2963,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Lombardia,2021,10.6
2964,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Lombardia,2022,15.27
2965,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Lombardia,2023,23.87
2973,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Abruzzo,2021,4.3
2974,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Abruzzo,2022,3.53
2975,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Abruzzo,2023,8.39
2978,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Molise,2021,6.13
2979,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Molise,2022,2.36
2980,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Molise,2023,0.51
2983,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Campania,2021,4.93
2984,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Campania,2022,7.53
2985,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Campania,2023,17.33
2988,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Puglia,2021,4.21
2989,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Puglia,2022,45.31
2990,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Puglia,2023,-22.71
2993,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Basilicata,2021,-0.4
2994,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Basilicata,2022,2.15
2995,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Basilicata,2023,9.29
2998,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Calabria,2021,-3.91
2999,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Calabria,2022,17.36
3000,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Calabria,2023,-17.96
3008,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Sicilia,2021,-1.5
3009,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Sicilia,2022,8.97
3010,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Sicilia,2023,4.05
3013,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Sardegna,2021,-8.23
3014,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Sardegna,2022,4.26
3015,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Sardegna,2023,3.66
3023,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Trentino-Alto Adige,2021,1.11
3024,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Trentino-Alto Adige,2022,14.63
3025,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Trentino-Alto Adige,2023,1.84
3028,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Trentino-Alto Adige,2021,-3.24
3029,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Trentino-Alto Adige,2022,0.72
3030,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Trentino-Alto Adige,2023,3.75
3033,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Veneto,2021,-10.73
3034,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Veneto,2022,-10.47
3035,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Veneto,2023,12.2
3038,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Friuli Venezia Giulia,2021,6.4
3039,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Friuli Venezia Giulia,2022,4.21
3040,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Friuli Venezia Giulia,2023,7.03
3043,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Emilia-Romagna,2021,3.51
3044,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Emilia-Romagna,2022,3.83
3045,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Emilia-Romagna,2023,3.17
3053,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Toscana,2021,2.44
3054,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Toscana,2022,3.38
3055,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Toscana,2023,13.27
3058,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Umbria,2021,1.79
3059,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Umbria,2022,1.57
3060,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Umbria,2023,8.81
3063,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Marche,2021,-49.49
3064,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Marche,2022,5.34
3065,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Marche,2023,8.57
3068,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Lazio,2021,6.29
3069,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Lazio,2022,0.18
3070,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Lazio,2023,-27.85
3101,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,-0.25
3102,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,0.47
3103,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,3.26
3106,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,0.98
3107,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,2.05
3108,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,-1.3
3111,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,1.12
3112,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2022,0.02
3113,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2023,4.72
3116,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2021,10.41
3117,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2022,15.01
3118,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2023,23.35
3126,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2021,4.49
3127,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2022,3.38
3128,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2023,8.09
3131,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2021,5.88
3132,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2022,2.27
3133,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2023,0.49
3136,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2021,4.84
3137,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2022,7.47
3138,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2023,17.08
3141,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2021,4.22
3142,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2022,44.52
3143,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2023,-22.4
3146,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2021,-0.39
3147,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2022,2.14
3148,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2023,9.23
3151,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2021,-3.77
3152,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2022,16.57
3153,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2023,-17.79
3161,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,-1.48
3162,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,8.91
3163,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,3.99
3166,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,-8.07
3167,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,4.28
3168,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,3.48
3176,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,1.1
3177,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,14.58
3178,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,1.84
3181,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,-0.06
3182,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,2.94
3183,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,4.86
3186,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2021,-10.7
3187,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2022,-10.44
3188,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2023,12.15
3191,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2021,6.38
3192,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2022,4.17
3193,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2023,7.02
3196,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2021,3.48
3197,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2022,3.79
3198,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2023,3.16
3206,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2021,2.46
3207,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2022,3.45
3208,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2023,13.03
3211,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2021,1.77
3212,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2022,1.56
3213,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2023,8.76
3216,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2021,-48.74
3217,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2022,5.22
3218,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2023,8.26
3221,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,6.27
3222,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,0.18
3223,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,-27.73
3254,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,-0.63
3255,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,-1.91
