,Residence_Type,Unit of measurement,Economic activity,Region,Year,Value
307,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,77006
308,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,106676
309,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,138586
311,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,1174237
312,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,1900408
313,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,2251412
315,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,688388
316,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,979985
317,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,1063978
319,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,689593
320,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,1201209
321,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,1342316
324,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,10632221
325,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,14700911
326,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,14200536
328,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,5278952
329,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,7679953
330,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,7436873
332,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,2101733
333,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,2643560
334,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,2439970
336,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,927866
337,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,1363132
338,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,1422391
340,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,547624
341,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,722601
342,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,782618
344,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,1776046
345,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,2291665
346,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,2118684
