,Region,Year,Value,DS,institution_count
249,Sardegna,2023,6413065.0,d2,271
250,Sardegna,2023,28401072.0,d5,271
251,Sardegna,2023,282870832.0,d3,271
252,Sicilia,2021,31.049999999999997,d6,322
253,Sicilia,2021,26428.0,d1,322
254,Sicilia,2021,3113379.0,d4,322
255,Sicilia,2021,4723480.0,d2,322
256,Sicilia,2021,19378502.0,d5,322
257,Sicilia,2021,204834281.0,d3,322
258,Sicilia,2022,38.150000000000006,d6,322
259,Sicilia,2022,27255.0,d1,322
260,Sicilia,2022,4888423.0,d4,322
261,Sicilia,2022,8338218.0,d2,322
262,Sicilia,2022,29566312.0,d5,322
263,Sicilia,2022,314702566.0,d3,322
264,Sicilia,2023,43.2,d6,322
265,Sicilia,2023,27770.0,d1,322
266,Sicilia,2023,5505077.0,d4,322
267,Sicilia,2023,10172092.0,d2,322
268,Sicilia,2023,32896568.0,d5,322
269,Sicilia,2023,351241306.0,d3,322
270,Toscana,2021,30.2,d6,752
271,Toscana,2021,76520.0,d1,752
272,Toscana,2021,6358408.0,d2,752
273,Toscana,2021,8384537.0,d4,752
274,Toscana,2021,62647908.0,d5,752
275,Toscana,2021,635304351.0,d3,752
276,Toscana,2022,39.25,d6,752
277,Toscana,2022,76887.0,d1,752
278,Toscana,2022,11311222.0,d2,752
279,Toscana,2022,12970868.0,d4,752
280,Toscana,2022,85586804.0,d5,752
281,Toscana,2022,892213046.0,d3,752
282,Toscana,2023,42.2,d6,752
283,Toscana,2023,78736.0,d1,752
284,Toscana,2023,13984316.0,d2,752
285,Toscana,2023,14651243.0,d4,752
286,Toscana,2023,92038620.0,d5,752
287,Toscana,2023,970728848.0,d3,752
288,Trentino-Alto Adige,2021,57.724999999999994,d6,184
289,Trentino-Alto Adige,2021,24968.0,d1,184
290,Trentino-Alto Adige,2021,1644915.0,d2,184
291,Trentino-Alto Adige,2021,8356718.0,d4,184
292,Trentino-Alto Adige,2021,47644644.0,d5,184
293,Trentino-Alto Adige,2021,616762762.0,d3,184
294,Trentino-Alto Adige,2022,62.47500000000001,d6,184
295,Trentino-Alto Adige,2022,25860.0,d1,184
296,Trentino-Alto Adige,2022,3120791.0,d2,184
297,Trentino-Alto Adige,2022,12414449.0,d4,184
298,Trentino-Alto Adige,2022,69905034.0,d5,184
299,Trentino-Alto Adige,2022,903711816.0,d3,184
300,Trentino-Alto Adige,2023,65.225,d6,184
301,Trentino-Alto Adige,2023,26860.0,d1,184
302,Trentino-Alto Adige,2023,3937890.0,d2,184
303,Trentino-Alto Adige,2023,13289310.0,d4,184
304,Trentino-Alto Adige,2023,74369075.0,d5,184
305,Trentino-Alto Adige,2023,959230174.0,d3,184
306,Umbria,2021,31.8,d6,271
307,Umbria,2021,11942.0,d1,271
